Feature,Importance
POP5,0.17045173
RCN2,0.15799993
IL17RA,0.096149564
DENND3,0.06867011
ENSG00000282572,0.06516863
SLC36A1,0.05802568
RPL29,0.040569887
PSMC1,0.03336761
ARL4C,0.03211618
ACTN1,0.025168309
LTV1,0.021014873
PCNA,0.019097801
MAP2K3,0.01904986
SUSD1,0.016284432
ENSG00000276533,0.016024154
ELL2,0.011723744
SMN1,0.011268546
PPM1K,0.00998924
CRCP,0.009275623
IL1R2,0.008575747
EEF1AKMT2,0.007890255
GPR180,0.0078839
CTBP1,0.007299416
RBMX,0.007284205
UTP18,0.0065281237
TBP,0.006210929
SLC45A4,0.0056151287
LINC00641,0.0050413217
CHCHD10,0.004816722
PRPF18,0.0043714466
CNOT7,0.003924343
SMARCA4,0.002933237
STEAP4,0.0027356944
WDSUB1,0.0026859744
IMP4,0.0025616665
LRRC41,0.0024406454
FBXL16,0.002440353
OSBPL10,0.0023671847
GBP1,0.0023640993
LSM12,0.0022678075
LILRB2,0.0021993085
C18orf32,0.0021514082
CLPB,0.0021274807
RPL11P3,0.001847416
CCNB2,0.0018089771
PAXBP1,0.0016851885
HSPA9,0.001212391
IQSEC1,0.0011065309
ENSG00000254635,0.0010465768
COMMD4,0.0010195514
SPRED1,0.0009497451
PTGES,0.00090812746
KLHL21,0.00045847494
TOX4,0.00036039238
RWDD2B,0.0003220078
DDX18,0.00029037916
C1GALT1C1,0.00028837277
RAB29,0.00025835447
NDUFB7,0.00021539022
RHOF,8.98186e-05
CCHCR1,0.0
EMC4,0.0
SH3BP5L,0.0
IQCB1,0.0
DCUN1D4,0.0
CTIF,0.0
LMF2,0.0
LYST,0.0
SAP30,0.0
EZH1,0.0
MTERF4,0.0
CLPX,0.0
TTF2,0.0
CAPN1,0.0
PPP1R3E,0.0
ZNF875,0.0
MRTFB,0.0
SLC49A3,0.0
RBM45,0.0
HSBP1,0.0
MCL1,0.0
H2BC10,0.0
HDAC8,0.0
BDH2,0.0
PLA2G15,0.0
IFNAR2,0.0
KDM4C,0.0
RPS7,0.0
NRN1,0.0
TRBV12-3,0.0
RTCB,0.0
DUS4L,0.0
MOB3C,0.0
ANKH,0.0
CAPRIN2,0.0
CDCA2,0.0
ENSG00000225138,0.0
DCUN1D1,0.0
ZBTB25,0.0
RAP1GAP2,0.0
ZFYVE1,0.0
MTMR3,0.0
ENSG00000204282,0.0
RARA,0.0
COMMD9,0.0
ZC3HAV1,0.0
PPM1M,0.0
ZNF775,0.0
ZDHHC21,0.0
ENSG00000223745,0.0
RPL31,0.0
KLF8,0.0
NT5C3B,0.0
ENSG00000244313,0.0
CD27,0.0
HTATSF1,0.0
PSMB6,0.0
PSMB4,0.0
ATP5F1B,0.0
RNASE1,0.0
DCBLD1,0.0
LRIG2,0.0
MAVS,0.0
TPX2,0.0
TARS3,0.0
DZIP1L,0.0
NFIL3,0.0
PI4KB,0.0
CERS5,0.0
OCIAD2,0.0
IGLV2-8,0.0
LINC00989,0.0
IGKV1-8,0.0
ENSG00000280392,0.0
BRIX1,0.0
WWP1,0.0
HARBI1,0.0
ENSG00000239665,0.0
LINC-PINT,0.0
LBHD1,0.0
ADD2,0.0
POLDIP3,0.0
ZFAND5,0.0
UBQLN4,0.0
KLHL18,0.0
ZWINT,0.0
CDAN1,0.0
AP5Z1,0.0
FPGT,0.0
NCBP2,0.0
LOC101928834,0.0
CHEK1,0.0
CPEB4,0.0
SNAPC2,0.0
RDH11,0.0
HSPB11,0.0
SHROOM1,0.0
BNIP3,0.0
UBE2O,0.0
WDR25,0.0
CEROX1,0.0
PUSL1,0.0
TMEM170B,0.0
ASAP2,0.0
IRS1,0.0
DNAJC2,0.0
RFC4,0.0
ENSG00000255031,0.0
ANKRD44-IT1,0.0
ZSWIM8,0.0
MBD3,0.0
ANO10,0.0
APOBEC3H,0.0
LMAN2,0.0
ENOSF1,0.0
CEP43,0.0
TRBV3-1,0.0
TTC3,0.0
SNORA74B,0.0
PPP1CB,0.0
TRIM39,0.0
FMN1,0.0
SLC7A7,0.0
TLE5,0.0
ARHGEF9,0.0
TXLNGY,0.0
TFAP4,0.0
YOD1,0.0
EFEMP2,0.0
PPP1R14A,0.0
NRBF2,0.0
MIR223HG,0.0
CEP41,0.0
ANGPT1,0.0
HLA-DRA,0.0
ALPK1,0.0
GOLT1B,0.0
NAV1,0.0
RPL7AP50,0.0
ABALON,0.0
