Feature,Mean_ABS_SHAP
Remdesivir_Yes,0.0006480741065694163
ENSG00000282572,0.0
RBM45,0.0
ZSWIM8,0.0
KIF11,0.0
KDM4C,0.0
MCL1,0.0
RPL7AP50,0.0
ICAM3,0.0
HLA-DRA,0.0
SRGAP2C,0.0
RBPJ,0.0
TFAP4,0.0
LINC00989,0.0
ZNF512B,0.0
DNAJC2,0.0
ENSG00000280407,0.0
NAV1,0.0
MOB3C,0.0
MRTFB,0.0
PPM1K,0.0
CAPRIN2,0.0
RWDD2B,0.0
CD37,0.0
PAXBP1,0.0
NIFK,0.0
ZNF775,0.0
DCUN1D4,0.0
KLHL18,0.0
ATP11A,0.0
RBM3,0.0
HARBI1,0.0
PPP1R3E,0.0
PTGES3,0.0
ZFAND5,0.0
TTC21B,0.0
ZFYVE1,0.0
PPM1M,0.0
CSTF2,0.0
RNF220,0.0
THEM6,0.0
TRAV3,0.0
ENSG00000225138,0.0
ATP5F1B,0.0
LINC02289,0.0
ENSG00000244313,0.0
RTCB,0.0
RAP1GAP2,0.0
ENSG00000276345,0.0
DTL,0.0
HDAC8,0.0
NRN1,0.0
ABALON,0.0
ENSG00000279453,0.0
TPX2,0.0
RARA,0.0
CLPB,0.0
DUS4L,0.0
LTV1,0.0
COMMD9,0.0
COG1,0.0
SH3BP5L,0.0
MTMR3,0.0
ENSG00000204282,0.0
DCBLD1,0.0
DCUN1D1,0.0
MAVS,0.0
UTP18,0.0
Length of Hospitalization,0.0
RPL31,0.0
EPB41,0.0
MTERF4,0.0
POP5,0.0
HTATSF1,0.0
TLR6,0.0
CEP43,0.0
THEM5,0.0
SAP30,0.0
RPL11P3,0.0
LSM12,0.0
RAB29,0.0
CDAN1,0.0
ZNF528,0.0
APOBEC3H,0.0
TRBV3-1,0.0
NTPCR,0.0
IFNAR2,0.0
SLC49A3,0.0
INPP5A,0.0
AIF1,0.0
GPR180,0.0
LOC101928834,0.0
MAP2K3,0.0
FAM216A,0.0
RNF24,0.0
RNASE1,0.0
ZDHHC21,0.0
WDSUB1,0.0
TXLNGY,0.0
CPEB4,0.0
WIPI2,0.0
CLIC2,0.0
ANKH,0.0
PKD1,0.0
TOMM20,0.0
CCNT2,0.0
RPL29,0.0
POLE4,0.0
UTP15,0.0
ENSG00000276533,0.0
USB1,0.0
EOLA2-DT,0.0
IRS1,0.0
SLC45A4,0.0
GRB10,0.0
LINC00680,0.0
RAD21,0.0
ENSG00000223745,0.0
IL17RA,0.0
DDX50,0.0
IGLV2-8,0.0
CRCP,0.0
TRIM39,0.0
C10orf88,0.0
MRPL30,0.0
ADA,0.0
NAA30,0.0
TLE4,0.0
BDH2,0.0
PDXP,0.0
ZNF343,0.0
OR2B6,0.0
USP48,0.0
RCN2,0.0
RAN,0.0
PGRMC2,0.0
SLC7A7,0.0
SMARCA4,0.0
RNLS,0.0
OPLAH,0.0
RACGAP1,0.0
DGKE,0.0
EMC4,0.0
TTC3,0.0
FASTKD3,0.0
DUSP23,0.0
ZDHHC3,0.0
NSMAF,0.0
POMT2,0.0
KANK2,0.0
IGKV2D-28,0.0
USF3,0.0
UBA2,0.0
MBD3,0.0
WWP1,0.0
C18orf32,0.0
ANO10,0.0
ARHGEF9,0.0
HSBP1,0.0
NUDT16L2P,0.0
DGKG,0.0
PAXIP1-DT,0.0
ZNF174,0.0
UBE2O,0.0
OCIAD2,0.0
ENSG00000267174,0.0
TOX4,0.0
TNRC6B,0.0
CEP41,0.0
PCNA,0.0
RABL2A,0.0
NFIL3,0.0
FOXJ2,0.0
SMN1,0.0
MAP3K11,0.0
OSBPL10,0.0
TBP,0.0
DYRK3,0.0
SUSD1,0.0
PSMB6,0.0
DBT,0.0
DHX32,0.0
FBXL16,0.0
PRPF18,0.0
CENPK,0.0
SAMD4B,0.0
ZNF217,0.0
H2BC10,0.0
STEAP4,0.0
STK40,0.0
DNAJC16,0.0
PHYKPL,0.0
SLC2A4RG,0.0
RNF10,0.0
PUSL1,0.0
FECH,0.0
ZWINT,0.0
CIR1,0.0
WDR25,0.0
TRBV12-3,0.0
