Feature,Appearances,Mean_Importance,Mean_SHAP,Models
CCL4L1,11,0.00326840171307702,0.0015041346477255829,"Residual_LSTM, Bidirectional_LSTM, LSTM, Bidirectional_GRU, Ensemble, Optimized_Weighted_Ensemble, GRU, Attention_LSTM, CNN_LSTM, Deep_CNN, Transformer"
ZFP36L2,11,0.002822834246120238,-0.00022730408397090565,"Residual_LSTM, Bidirectional_LSTM, LSTM, Bidirectional_GRU, Ensemble, Optimized_Weighted_Ensemble, GRU, Attention_LSTM, CNN_LSTM, Deep_CNN, Transformer"
CCL4,11,0.0027015710038571605,0.00033188839409339834,"Residual_LSTM, Bidirectional_LSTM, LSTM, Bidirectional_GRU, Ensemble, Optimized_Weighted_Ensemble, GRU, Attention_LSTM, CNN_LSTM, Deep_CNN, Transformer"
CSRNP1,11,0.0026774419795282047,0.0007201124616542188,"Residual_LSTM, Bidirectional_LSTM, LSTM, Bidirectional_GRU, Ensemble, Optimized_Weighted_Ensemble, GRU, Attention_LSTM, CNN_LSTM, Deep_CNN, Transformer"
SPON2,11,0.0024336003381952775,0.00044947022702879197,"Residual_LSTM, Bidirectional_LSTM, LSTM, Bidirectional_GRU, Ensemble, Optimized_Weighted_Ensemble, GRU, Attention_LSTM, CNN_LSTM, Deep_CNN, Transformer"
MOCS3,11,0.002378854180492794,0.00011443346113226388,"Residual_LSTM, Bidirectional_LSTM, LSTM, Bidirectional_GRU, Ensemble, Optimized_Weighted_Ensemble, GRU, Attention_LSTM, CNN_LSTM, Deep_CNN, Transformer"
CCL4L2,11,0.002047140013356423,0.0006870778147744294,"Residual_LSTM, Bidirectional_LSTM, LSTM, Bidirectional_GRU, Ensemble, Optimized_Weighted_Ensemble, GRU, Attention_LSTM, CNN_LSTM, Deep_CNN, Transformer"
AURKB,11,0.0019878677273044514,0.0008234463759067685,"Residual_LSTM, Bidirectional_LSTM, LSTM, Bidirectional_GRU, Ensemble, Optimized_Weighted_Ensemble, GRU, Attention_LSTM, CNN_LSTM, Deep_CNN, Transformer"
CCL3L1,11,0.0017965825105863591,-0.0001940854257042282,"Residual_LSTM, Bidirectional_LSTM, LSTM, Bidirectional_GRU, Ensemble, Optimized_Weighted_Ensemble, GRU, Attention_LSTM, CNN_LSTM, Deep_CNN, Transformer"
DHFR,11,0.0017915259086316699,0.0003700780214301981,"Residual_LSTM, Bidirectional_LSTM, LSTM, Bidirectional_GRU, Ensemble, Optimized_Weighted_Ensemble, GRU, Attention_LSTM, CNN_LSTM, Deep_CNN, Transformer"
